GS	GeneList	Qvalues	Direction
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	UGT2B17 UGT1A8 UGT2A3 CYP2B6 UGT1A3 UGT2B15 UGT1A6 UGT1A1 ADH1C UGT1A9 AKR1C3 CYP2C18 ADH6 GSTM4 GSTA2 CYP2C9 GSTZ1 ADH1A UGT2B28 AKR1C2 MGST3 AKR1C1 MGST2 GSTK1 CYP3A5 CYP3A43 AKR1C4 CYP3A4 CYP3A7 UGT2B4 ALDH3A1 EPHX1 CYP2C8 ALDH3B2 GSTP1 GSTO1 GSTM1 ADH5 ADH7 CYP2F1 GSTM2 CYP2C19 GSTA3 ALDH3B1 CYP2E1 UGT2A1 GSTA4 CYP1A2 CYP1A1 GSTM3 GSTT1 GSTA1 GSTT2 ALDH1A3 GSTM5 CYP1B1 ADH1B	0	DN
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	UGT2B17 UGT1A8 UGT2A3 UGT1A3 UGT2B15 UGT1A6 UGT1A1 UGT1A9 CRYL1 UGDH DCXR UGT2B28 UGP2 RPE GUSB UGT2B4 XYLB UGT2A1 AKR1B1	0	DN
KEGG_PEROXISOME	EHHADH ACOX1 AMACR FAR2 SLC27A2 PXMP2 AGPS PEX7 EPHX2 PHYH XDH ABCD3 PEX26 PEX11A PECR IDH1 ECI2 ACOT8 HMGCL ACSL5 PEX13 PEX11B ACAA1 MLYCD PEX2 PEX1 CAT HSD17B4 CROT PXMP4 GSTK1 SCP2 ACOX3 PEX19 DHRS4 PEX12 ECH1 SOD2 DECR2 DAO SOD1 ACSL3 IDH2 SLC25A17 PRDX1 GNPAT DDO ABCD4 CRAT ACOX2 ACSL1 PMVK PEX5 PEX10 NOS2 PEX16 PEX14 PEX3 MVK HAO2 BAAT PEX6 PAOX ACSL6 ABCD2 HAO1 AGXT MPV17 ABCD1 PIPOX ACSL4	0	DN
KEGG_PROPANOATE_METABOLISM	EHHADH PCCA HIBCH ABAT PCCB SUCLA2 SUCLG2 ALDH7A1 ACADM ACAT1 ALDH6A1 MUT HADHA ECHS1 MLYCD SUCLG1 ALDH3A2 ALDH2 ACAT2 LDHA ALDH9A1 LDHC LDHAL6B ALDH1B1 ACACA LDHB ACACB ACSS3	0	DN
KEGG_RETINOL_METABOLISM	UGT2B17 UGT1A8 UGT2A3 CYP2B6 UGT1A3 UGT2B15 UGT1A6 UGT1A1 ADH1C UGT1A9 CYP2C18 ADH6 DHRS9 RETSAT CYP2C9 PNPLA4 ADH1A UGT2B28 DGAT1 CYP3A5 RDH5 CYP3A43 DHRS4 CYP3A4 CYP3A7 UGT2B4 DHRS3 ALDH1A1 CYP2C8 RDH11 ADH5 RPE65 RDH8 ADH7 CYP2A7 CYP4A11 CYP2C19 UGT2A1 CYP2A6 CYP1A2 CYP1A1 RDH16 CYP2A13 ALDH1A2 CYP26B1 LRAT CYP26A1 ADH1B	0	DN
KEGG_STARCH_AND_SUCROSE_METABOLISM	UGT2B17 GBA3 UGT1A8 UGT2A3 UGT1A3 UGT2B15 UGT1A6 UGT1A1 UGT1A9 SI ENPP1 UGDH G6PC HK2 PGM1 UGT2B28 GBE1 UGP2 MGAM AGL GYS2 GUSB PYGB GPI UGT2B4 TREH GAA GYS1 HK3 UXS1 UGT2A1 AMY1A HK1 G6PC2 GCK ENPP3 PYGL PYGM	0	DN
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	EHHADH HMGCS2 ACADSB PCCA ACAD8 BCKDHB AUH HIBCH ABAT PCCB HADH ACAA2 ACADS HMGCS1 ALDH7A1 ACADM ACAT1 MCCC2 HMGCL ALDH6A1 ACAA1 MUT HADHA IVD DLD ECHS1 ALDH3A2 HADHB ALDH2 MCCC1 ACAT2 BCAT2 ALDH9A1 HSD17B10 BCKDHA ALDH1B1 BCAT1 DBT OXCT2 OXCT1 AOX1	0	DN
KHETCHOUMIAN_TRIM24_TARGETS_UP	FOS EGR1 BEX1 IGF2 HBEGF SAMD4A SPP1 TGM2 TGFB1 LGALS1 VCAM1 COL4A1 COL1A1 JUNB CP COL1A2 SPARC VIM LAPTM5 BTG2 COL4A2 UCP2 ITGAL ICAM1 CD44 CYBB TGFBR2 RBP1 SERPINE1 HCK CD38 TP53 AFP STAT1 ITGAV PDGFA RAI14 APP CDKN2B CDKN1A LGALS3 CASP1 FGFR2 KRT18 CDH1 EMP1	0	UP
KIM_GLIS2_TARGETS_UP	OGN MGP CTGF CCL2 COL14A1 DPT CCL21 CFH NID1 CXCL12 C3 MFAP4 EFEMP2 DCN S100A4 FBN1 COL15A1 VCAM1 SPARCL1 COL4A1 COL1A1 COL1A2 SPARC VIM CX3CL1 OSMR HLA-DQB1 LUM HLA-DQA1 LTB HLA-DRA PDGFRL COL18A1 HLA-DMA ICAM1 HLA-DRB1 LTBP2 SOCS3 LSP1 CCR2 HLA-DMB TGFBR2 CD74 ANGPTL4 AIF1 IFITM3 SERPINE1 ADAMTS2 MATN2 FCER1G TGFBI COL3A1 BBC3 ADAM8 MFAP2 ISG15 FCGR2A CASP4 MMP14 TLR2 CCL5 SYCP1 CXCL10 PSMB9 TSC22D1 CDCA3 PDGFRA CIDEC CXCL14 HLA-G PF4 S100A6 IRF1 PSMB8 SPON1 IGFBP2 LAD1 PYCARD POSTN	0	UP
LEE_DIFFERENTIATING_T_LYMPHOCYTE	CXCR4 MAL SELL SEPT6 ARHGAP15 RHOH FGFR1 CORO1A EVL CD48 EVI2A KIAA0922 HCLS1 ITGB2 PTPRC FLI1 LAPTM5 ARHGAP25 BTG2 ICAM2 GMFG SASH3 ARHGEF6 HDAC4 PVRIG DOCK2 PRKCH RASGRP1 ARHGDIB ITM2A EVI2B CD52 FNBP1 LCK ITK VAMP1 TNFAIP8 LTB UCP2 CD53 INPP4A GATA3 UBASH3A ITGAL CD2 IL7R TRAT1 ICOS PRKCB RAC2 DLGAP4 MAP4K1 IPCEF1 MR1 CECR1 CELF2 TCF7 CD3D SEMA4D LPXN SH2D1A HAUS2 MYCBP2 SLA CYFIP2 TRAF3IP3 AIF1 VAV1 CD247 PRKCQ IKZF1 ALMS1 FBXW12 SP110 LEF1 NUP210 FKBP5 ZNF721 GTF3A ZNF266 SATB1 TMC6 UBQLN4 CD96 ZNF160 FYB SELPLG APBB1IP CBX4 LAX1 IFNAR2 C2orf68 ZFP36L2 AQP3 DCLRE1C CCND3 ZC3H7B BRD2 AKAP13 TXNIP BTG1 ZNF148 CYTH1 RNASET2 BCL11B SRSF6 KDM5A DGKA PNISR SRRM2 USP34 ATF7IP2 DICER1 MZT2B STX16 FUBP1 SEC31B EIF4A1 ZNF586 PSMB9 SRSF7 NFATC2IP CEP350 ATP8B1 ING3 RYBP EPB41 CD3G UBE2G2 MTF2 MDM4 AP1G2 NDUFS8 SFPQ ZNF207 CDK13 PCGF3 BCL2L11 TARP TMBIM4 LNPEP SORL1 TRAPPC6A MPHOSPH9 ATP8A1 SP1 ALDH5A1 KLF13 TRIM14 SLC9A3R1 SLC46A3 MGAT4A	0	UP
